 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|south-1|veerabadra nagara|32927|GKHPS HALAGEVADERAHALLI|Upper Primary|co-ed|kannada|BEML Layout, Pattangere Post, Raja Rajeshwari Nagar, Bangalore|Halagevaderahalli|560098|Near Mother Of Good Health School|225, 225A, 225B, 225K
 bangalore|south-1|mallathahalli|32964|GKHPS PANTHARAPALYA|Upper Primary|co-ed|kannada|Mysore Road, Nayandahalli Post, Bangalore South - 1|Panthara Play|560039|Near Nayandahalli Bus Stop|222, 225, 226, 227, 228
 bangalore|south-1|mallathahalli|32965|GKLPS MYLASANDRA (MALLATHAHALLI)|Lower Primary|co-ed|kannada|Mysore Road, R.V. College Post, Kengeri Hobli, Bangalore|Mylasandra|560059|Near Maramma Temple|222, 226, 227, 228
 bangalore|south-1|mallathahalli|32966|GKLPS PATTANAGERE|Lower Primary|co-ed|kannada|Pattanagere Post, Raja Rajeshwari Nagar, Bangalore|Pattanagere|560098|Beside Ashwath Katte|225K
 bangalore|south-1|sunkadakatte jantha colony|33066|GKLPS H R PALYA|Lower Primary|co-ed|kannada|Magadi Main Road Vishwaneedam post Bangalore|Hanumantharayana Palya|560091|Beside Ganesha Temple|248,248 C,240,241,242
 bangalore|south-2|byatarayanapura|31999|GKMPS BYATARAYANAPURA (S2)|Model Primary|co-ed|kannada|1st Main Road, Mysore Road, Bangalore|Byatarayanapura|560026|Infront Akshaya Ganapathi Temple|58, 222, 223, 224, 225
 bangalore|south-2|chamarajpet|32130|GTLPS ANANDAPURAM|Lower Primary|co-ed|tamil|Mysore Road|Ananda Puram|560002|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|chickpet|33075|GUHPS DODDAMAVALLI|Upper Primary|co-ed|urdu|Lalbagh Fort Road, 4th Cross, V.V.Puram Post, Bangalore|Doddamavalli|560004|Beside Shifaa Dental Clinic|342, 360, 366
 bangalore|south-3|ejipura|32259|GKHPS VIVEKNAGARA|Upper Primary|co-ed|kannada|1ST Cross,1st main Road,Vivek Nagar Post|Vivek Nagar|560047|Near Vannarpet Bus Stop|201,G3
 bangalore|north-1|ullalupanagara|33275|GKLPS KODIGEHALLI|Lower Primary|co-ed|kannada|Kodige Halli Post,Yeshwantha Pura Hobli,Bangalore|Kodigehalli|560091|Infront Kodigehalli Bus Stop|241 P.241 J.241 B
 bangalore|south-2|kalasipalya|32445|GUHPBS SULTHANPET|Lower Primary|co-ed|urdu|Cottanpet main Road,Jolly Mahalla|Sulthan pet|560053|Near Super Theatre Bua Stop|134225
 bangalore|south-1|mallathahalli|32968|GKHPS MALLATHAHALLI|Upper Primary|co-ed|kannada|8th Cross, Mallathahalli Post, Bangalore|Mallathahalli|560056|Near Mallathahalli Bus Stop|223.223B.223M
 bangalore|south-1|mallathahalli|32970|GKHPS PAPAREDDY PALYA|Upper Primary|co-ed|kannada|Ring Road Nagarabhavi 2nd Stage Nagarabhavi Post bangalore|Papareddypalya|560072|Near Ganesha &Kashivishwantha Temple|401 K,500,501,600.
 bangalore|south-1|sunkadakatte jantha colony|33063|GKHPS MALAGALU|Upper Primary|co-ed|kannada|Malagala Circale, Malagala Main Road Vishwaneedam Post Bangalore|Malagala|560091|Near Malagala Bus Stop|244 K
 bangalore|south-1|sunkadakatte jantha colony|33064|GKHPS SUNKADAKATTE JANATHA COLONY|Lower Primary|co-ed|kannada|Hanumantha nagar Road,Vishwaneedam Post,Bangalore|Sunkadakatte Janatha Colony|560091||
 bangalore|south-1|sunkadakatte jantha colony|33065|GKLPS ERANAPALYA|Lower Primary|co-ed|kannada|Vishwaneedam post srigandadakval eeranapalya bangalore|Eeranapalya|560091|Opp Doddamma temple|242 CD,246 B
 bangalore|south-1|sunkadakatte jantha colony|33067|GKLPS KOTTIGEPALYA|Lower Primary|co-ed|kannada|Magadi Main Road Vishwaneedam post Bangalore|Kottigepalya|560091|opp Ganesha Temple|242,252.243,265
 bangalore|south-3|beratena agrahara|33101|GKHPS KENDRAKARAGRAHA|Upper Primary|co-ed|kannada|Electronic City Post, Begur Hobli, S-3|Parapana Agrahara|560100|Near Central Jail Bus Stop|347
 bangalore|south-4|channasandra|32066|GKLPS KONADASAPURA|Lower Primary|co-ed|kannada|Hosakote Road, Virgonagar Post, Bidarahalli Hobli, Bangalore|Konadasapura|560049|Opposite Shaneshwar Swamy Temple|317
 bangalore|south-4|doddakanneli|32201|GKMPS GUNJOOR|Model Primary|co-ed|kannada|Gunjuru Post, Varthur Hobli|Gunjuru|560087|Behind Vijaya Bank|228, 328
 bangalore|south-4|hoodi|32296|GKLPS ANDRACOLONY|Lower Primary|co-ed|kannada|A.Narayanapura Main Road, Dooravani Nagar Post|Andhra Colony|560016|Near Andhra Colony Bande|500, 504, 506, 304, 306
 bangalore|south-4|k r puram|32498|GUHPS DEVASANDRA|Upper Primary|co-ed|urdu|Devasandra Main Road, K.R.Puram Post, Bangalore|Devasandra|560036|Near Masjid-E-Haadi|300E, 315V, 315, 313,
 bangalore|south-4|k r puram|32502|GKLPS DEVASANDRA|Lower Primary|co-ed|kannada|Venugopal Temple Road, K.R.Puram Post, Bangalore|Devasandra|560036|Near Masjid-E-Hadi & Near Venugopal Swamy Temple Road|300E, 315V, 315, 313,
 bangalore|south-4|kylasanahalli|32593|GKHPS KYLASANAHALLI|Upper Primary|co-ed|kannada|Rampura Main Road, Kothanur Post, Bangalore|Kyalashnahalli|560077|Near Ashwath Katte|294, 294 D, 295, 295 A
 bangalore|south-4|hoodi|32298|GKMPS A NARAYANAPURA|Model Primary|co-ed|kannada|A.Narayanapura Main Road, Dooravani Nagar Post|A.Narayanapura|560016|Opposite Ashwath Katte|500,504,506.304,306
 bangalore|anekal|sarjapura|32945|GKHPS BIDARAGUPPE|Upper Primary|co-ed|kannada|Attibele To Sarjapura Main Road, Bidaraguppe Post, Attibele Hobli, Anekal Taluk, Bangalore|Bidaraguppe|562107|Infront of Bidaraguppe Bus Stop|308, 358 600, 328 H
 bangalore|north-1|laggere|32660|GULPS CHAMUNDIPURA|Lower Primary|co-ed|urdu|Chamundipura Main Road|Chamundipura|560058|Near Laggere Circle Bus Stop|251, 252
 bangalore|north-1|peenya|33299|GKHPS COOLI NAGARA|Upper Primary|co-ed|kannada|Nandini Layout Post|Kuli Nagar|560096|Behind Nandini Layout Bus Stop|501, 401, 500
 bangalore|north-4|agrahara layout|33211|GKHPS PALANAHALLI|Upper Primary|co-ed|kannada|Devanahalli Main Road, Yelahanka Post, Bangalore|Palanahlli|560064|Near Anjaneya Swamy Temple|298, 298 M, 281, 282
 bangalore|north-4|khudregere|32663|GKHPS DASANAPURA|Upper Primary|co-ed|kannada|Tumkur Road, Dasanapura Post, Dasanapura Hobli, Bangalore North|Dasanapura|562123|Beside Dasanapura Milk Dairy|258 C
 bangalore|north-4|mathahalli|33236|GKHPS MATHAHALLI|Upper Primary|co-ed|kannada|Mathahalli Post, Dasanapura Hobli, N-4|Mathahalli|562123|Opposite Mathahalli Bus Stop|255 A-H, 265
 bangalore|north-4|rajanakunte|32770|GKHPS TARAHUNISE|Upper Primary|co-ed|kannada|Tarahunase Post, Jala Hobli, Bangalore|Tarahunase|562127|Beside Anjaneya Swamy Temple|285, 291 K, 298 L, 407
 bangalore|north-4|yelehanka new town|32881|GKHPS ATTURU|Upper Primary|co-ed|kannada|Atturu Post, Yelahanka Hobli, N-4|Atturu|560106|Near Atturu Bus Stop|402 D, 402 R, 402 H
